uik;okrug;tik;voters;voted;turnout;leader;leader_pct;triggers
2418;Жигулевский;Приволжская;56;55;98.21;Трифонов;94.55;явка>=95 и лидер>=90
2419;Жигулевский;Приволжская;1877;1797;95.74;Трифонов;94.99;"лидер~полка±0.05; явка>=95 и лидер>=90"
2420;Жигулевский;Приволжская;597;570;95.48;Трифонов;91.05;явка>=95 и лидер>=90
2421;Жигулевский;Приволжская;1670;1603;95.99;Трифонов;92.89;явка>=95 и лидер>=90
2422;Жигулевский;Приволжская;467;457;97.86;Трифонов;95.19;"явка>=95 и лидер>=90; у оппозиции ровно 1 голос"
2423;Жигулевский;Приволжская;483;474;98.14;Трифонов;94.09;явка>=95 и лидер>=90
2424;Жигулевский;Приволжская;215;205;95.35;Трифонов;94.15;явка>=95 и лидер>=90
2425;Жигулевский;Приволжская;121;116;95.87;Трифонов;94.83;"явка>=95 и лидер>=90; у оппозиции ровно 1 голос"
2426;Жигулевский;Приволжская;107;101;94.39;Трифонов;100.0;"лидер=100%; лидер=явившиеся, недейств.=0"
2427;Жигулевский;Приволжская;463;451;97.41;Трифонов;92.68;"явка>=95 и лидер>=90; у оппозиции ровно 1 голос"
2428;Жигулевский;Приволжская;63;62;98.41;Трифонов;95.16;явка>=95 и лидер>=90
2429;Жигулевский;Приволжская;230;225;97.83;Трифонов;93.78;явка>=95 и лидер>=90
3501;Жигулевский;Ставропольская-162;1328;704;53.01;Трифонов;36.36;дубль голосов лидера(>=3 УИК)
3605;Жигулевский;Сызранская;221;210;95.02;Трифонов;86.19;"явка~круглое±0.05; у оппозиции ровно 1 голос"
3608;Жигулевский;Сызранская;651;490;75.27;Трифонов;52.24;дубль голосов лидера(>=3 УИК)
3611;Жигулевский;Сызранская;382;363;95.03;Трифонов;76.86;явка~круглое±0.05
3621;Жигулевский;Сызранская;347;318;91.64;Трифонов;72.96;дубль голосов лидера(>=3 УИК)
3622;Жигулевский;Сызранская;647;582;89.95;Трифонов;83.16;явка~круглое±0.05
3625;Жигулевский;Сызранская;245;244;99.59;Трифонов;77.05;явка>=99.5%
3626;Жигулевский;Сызранская;840;808;96.19;Трифонов;76.49;дубль голосов лидера(>=3 УИК)
3627;Жигулевский;Сызранская;551;506;91.83;Трифонов;82.81;дубль голосов лидера(>=3 УИК)
3720;Жигулевский;Сызранская городская;1728;1210;70.02;Трифонов;63.39;явка~круглое±0.05
3725;Жигулевский;Сызранская городская;1929;1012;52.46;Трифонов;42.89;дубль голосов лидера(>=3 УИК)
3744;Жигулевский;Сызранская городская;1364;823;60.34;Трифонов;52.73;дубль голосов лидера(>=3 УИК)
3748;Жигулевский;Сызранская городская;1649;1070;64.89;Трифонов;57.76;дубль голосов лидера(>=3 УИК)
3753;Жигулевский;Сызранская городская;1092;640;58.61;Трифонов;60.47;дубль голосов лидера(>=3 УИК)
3760;Жигулевский;Сызранская городская;246;246;100.0;Трифонов;86.18;"явка>=99.5%; явка=точное 100%; у оппозиции ровно 1 голос"
3761;Жигулевский;Сызранская городская;32;32;100.0;Трифонов;100.0;"явка>=99.5%; явка=точное 100%; лидер=100%; явка>=95 и лидер>=90"
3781;Жигулевский;Сызранская городская;396;396;100.0;Трифонов;97.73;"явка>=99.5%; явка=точное 100%; явка>=95 и лидер>=90; дубль голосов лидера(>=3 УИК); у оппозиции ровно 1 голос"
3784;Жигулевский;Сызранская городская;1;1;100.0;Трифонов;100.0;"явка>=99.5%; явка=точное 100%; лидер=100%; явка>=95 и лидер>=90"
3903;Жигулевский;Тольятти, Комсомольская;2814;1333;47.37;Трифонов;27.16;дубль голосов лидера(>=3 УИК)
3907;Жигулевский;Тольятти, Комсомольская;2147;983;45.78;Трифонов;21.87;дубль голосов лидера(>=3 УИК)
3908;Жигулевский;Тольятти, Комсомольская;2109;951;45.09;Трифонов;28.39;дубль голосов лидера(>=3 УИК)
3909;Жигулевский;Тольятти, Комсомольская;1737;730;42.03;Трифонов;29.45;дубль голосов лидера(>=3 УИК)
3912;Жигулевский;Тольятти, Комсомольская;2071;907;43.8;Трифонов;28.22;дубль голосов лидера(>=3 УИК)
3916;Жигулевский;Тольятти, Комсомольская;2703;1210;44.77;Трифонов;29.92;дубль голосов лидера(>=3 УИК)
3919;Жигулевский;Тольятти, Комсомольская;1953;903;46.24;Трифонов;28.35;дубль голосов лидера(>=3 УИК)
3927;Жигулевский;Тольятти, Комсомольская;1830;756;41.31;Трифонов;28.44;дубль голосов лидера(>=3 УИК)
3932;Жигулевский;Тольятти, Комсомольская;1949;856;43.92;Трифонов;27.1;дубль голосов лидера(>=3 УИК)
3940;Жигулевский;Тольятти, Комсомольская;1917;1012;52.79;Трифонов;27.77;дубль голосов лидера(>=3 УИК)
4101;Жигулевский;Хворостянская;439;425;96.81;Трифонов;96.71;явка>=95 и лидер>=90
4102;Жигулевский;Хворостянская;577;563;97.57;Трифонов;94.67;явка>=95 и лидер>=90
4103;Жигулевский;Хворостянская;232;230;99.14;Трифонов;97.83;"явка>=95 и лидер>=90; у оппозиции ровно 1 голос"
4104;Жигулевский;Хворостянская;794;778;97.98;Трифонов;91.9;явка>=95 и лидер>=90
4105;Жигулевский;Хворостянская;151;148;98.01;Трифонов;91.22;явка>=95 и лидер>=90
4106;Жигулевский;Хворостянская;84;83;98.81;Трифонов;96.39;явка>=95 и лидер>=90
4107;Жигулевский;Хворостянская;434;426;98.16;Трифонов;95.07;"явка>=95 и лидер>=90; у оппозиции ровно 1 голос"
4108;Жигулевский;Хворостянская;211;209;99.05;Трифонов;98.09;"явка>=95 и лидер>=90; у оппозиции ровно 1 голос"
4109;Жигулевский;Хворостянская;288;283;98.26;Трифонов;95.41;"явка>=95 и лидер>=90; дубль голосов лидера(>=3 УИК); у оппозиции ровно 1 голос"
4110;Жигулевский;Хворостянская;303;297;98.02;Трифонов;92.26;явка>=95 и лидер>=90
4111;Жигулевский;Хворостянская;636;617;97.01;Трифонов;91.25;явка>=95 и лидер>=90
4112;Жигулевский;Хворостянская;651;635;97.54;Трифонов;93.07;явка>=95 и лидер>=90
4113;Жигулевский;Хворостянская;138;136;98.55;Трифонов;95.59;явка>=95 и лидер>=90
4114;Жигулевский;Хворостянская;357;351;98.32;Трифонов;95.16;явка>=95 и лидер>=90
4115;Жигулевский;Хворостянская;104;102;98.08;Трифонов;97.06;явка>=95 и лидер>=90
4117;Жигулевский;Хворостянская;71;70;98.59;Трифонов;94.29;явка>=95 и лидер>=90
4118;Жигулевский;Хворостянская;469;460;98.08;Трифонов;93.26;явка>=95 и лидер>=90
4119;Жигулевский;Хворостянская;183;180;98.36;Трифонов;96.11;"явка>=95 и лидер>=90; у оппозиции ровно 1 голос"
4120;Жигулевский;Хворостянская;1355;1318;97.27;Трифонов;95.07;явка>=95 и лидер>=90
4121;Жигулевский;Хворостянская;1003;979;97.61;Трифонов;96.12;явка>=95 и лидер>=90
4122;Жигулевский;Хворостянская;1137;1125;98.94;Трифонов;94.93;явка>=95 и лидер>=90
4202;Жигулевский;Чапаевская городская;2335;1024;43.85;Трифонов;60.35;дубль голосов лидера(>=3 УИК)
4213;Жигулевский;Чапаевская городская;1395;803;57.56;Трифонов;52.18;дубль голосов лидера(>=3 УИК)
4215;Жигулевский;Чапаевская городская;1300;1027;79.0;Трифонов;65.53;явка=точное 79%
4217;Жигулевский;Чапаевская городская;1055;906;85.88;Трифонов;71.41;дубль голосов лидера(>=3 УИК)
4226;Жигулевский;Чапаевская городская;1096;877;80.02;Трифонов;63.06;явка~круглое±0.05
4229;Жигулевский;Чапаевская городская;2428;1191;49.05;Трифонов;51.89;дубль голосов лидера(>=3 УИК)
4231;Жигулевский;Чапаевская городская;2496;1320;52.88;Трифонов;49.02;дубль голосов лидера(>=3 УИК)
4504;Жигулевский;Шигонская;428;364;85.05;Трифонов;70.05;явка~круглое±0.05
4513;Жигулевский;Шигонская;199;195;97.99;Трифонов;91.28;явка>=95 и лидер>=90
4518;Жигулевский;Шигонская;349;323;92.55;Трифонов;71.83;дубль голосов лидера(>=3 УИК)
4522;Жигулевский;Шигонская;585;521;89.06;Трифонов;79.08;дубль голосов лидера(>=3 УИК)
310;Промышленный;Богатовская;569;525;92.27;Живайкин;60.76;дубль голосов лидера(>=3 УИК)
312;Промышленный;Богатовская;671;604;90.01;Живайкин;45.53;явка~круглое±0.05
601;Промышленный;Борская;298;247;82.89;Живайкин;69.23;"дубль голосов лидера(>=3 УИК); у оппозиции ровно 1 голос"
605;Промышленный;Борская;1294;1294;100.0;Живайкин;59.58;"явка>=99.5%; явка=точное 100%"
608;Промышленный;Борская;609;586;96.22;Живайкин;93.69;"явка>=95 и лидер>=90; у оппозиции ровно 1 голос"
611;Промышленный;Борская;283;279;98.59;Живайкин;90.68;"явка>=95 и лидер>=90; дубль голосов лидера(>=3 УИК); у оппозиции ровно 1 голос"
617;Промышленный;Борская;815;801;98.28;Живайкин;97.25;"явка>=95 и лидер>=90; у оппозиции ровно 1 голос"
618;Промышленный;Борская;749;738;98.53;Живайкин;95.39;явка>=95 и лидер>=90
619;Промышленный;Борская;1335;1332;99.78;Живайкин;65.09;явка>=99.5%
624;Промышленный;Борская;566;555;98.06;Живайкин;95.86;явка>=95 и лидер>=90
627;Промышленный;Борская;574;572;99.65;Живайкин;78.15;явка>=99.5%
630;Промышленный;Борская;368;359;97.55;Живайкин;87.47;у оппозиции ровно 1 голос
632;Промышленный;Борская;270;268;99.26;Живайкин;90.67;"явка>=95 и лидер>=90; у оппозиции ровно 1 голос"
723;Промышленный;Волжская-163;1114;570;51.17;Живайкин;26.84;дубль голосов лидера(>=3 УИК)
1310;Промышленный;Кинель-Черкасская;360;291;80.83;Живайкин;47.77;дубль голосов лидера(>=3 УИК)
1319;Промышленный;Кинель-Черкасская;661;461;69.74;Живайкин;38.39;дубль голосов лидера(>=3 УИК)
1330;Промышленный;Кинель-Черкасская;396;283;71.46;Живайкин;49.12;дубль голосов лидера(>=3 УИК)
1332;Промышленный;Кинель-Черкасская;948;620;65.4;Живайкин;40.81;дубль голосов лидера(>=3 УИК)
4603;Промышленный;Кинельская;424;294;69.34;Живайкин;67.01;дубль голосов лидера(>=3 УИК)
4605;Промышленный;Кинельская;329;274;83.28;Живайкин;65.69;дубль голосов лидера(>=3 УИК)
4609;Промышленный;Кинельская;246;220;89.43;Живайкин;83.64;дубль голосов лидера(>=3 УИК)
4612;Промышленный;Кинельская;286;255;89.16;Живайкин;68.63;дубль голосов лидера(>=3 УИК)
4616;Промышленный;Кинельская;97;90;92.78;Живайкин;90.0;лидер~полка±0.05
4623;Промышленный;Кинельская;387;318;82.17;Живайкин;83.65;у оппозиции ровно 1 голос
1201;Промышленный;Кинельская городская;1342;685;51.04;Живайкин;46.57;дубль голосов лидера(>=3 УИК)
1204;Промышленный;Кинельская городская;883;397;44.96;Живайкин;44.08;дубль голосов лидера(>=3 УИК)
1205;Промышленный;Кинельская городская;982;467;47.56;Живайкин;54.18;дубль голосов лидера(>=3 УИК)
1206;Промышленный;Кинельская городская;694;346;49.86;Живайкин;51.45;дубль голосов лидера(>=3 УИК)
1207;Промышленный;Кинельская городская;832;323;38.82;Живайкин;35.91;дубль голосов лидера(>=3 УИК)
1215;Промышленный;Кинельская городская;866;417;48.15;Живайкин;41.25;дубль голосов лидера(>=3 УИК)
1216;Промышленный;Кинельская городская;755;363;48.08;Живайкин;43.53;дубль голосов лидера(>=3 УИК)
1217;Промышленный;Кинельская городская;1439;691;48.02;Живайкин;36.18;дубль голосов лидера(>=3 УИК)
1224;Промышленный;Кинельская городская;1971;1008;51.14;Живайкин;28.97;дубль голосов лидера(>=3 УИК)
1225;Промышленный;Кинельская городская;1679;979;58.31;Живайкин;25.54;дубль голосов лидера(>=3 УИК)
5003;Промышленный;Самара, Промышленная;2518;538;21.37;Живайкин;30.86;дубль голосов лидера(>=3 УИК)
5011;Промышленный;Самара, Промышленная;2125;698;32.85;Живайкин;24.64;дубль голосов лидера(>=3 УИК)
5013;Промышленный;Самара, Промышленная;2555;866;33.89;Живайкин;20.44;дубль голосов лидера(>=3 УИК)
5014;Промышленный;Самара, Промышленная;2293;761;33.19;Живайкин;28.52;дубль голосов лидера(>=3 УИК)
5024;Промышленный;Самара, Промышленная;2256;669;29.65;Живайкин;22.87;дубль голосов лидера(>=3 УИК)
5026;Промышленный;Самара, Промышленная;1595;476;29.84;Живайкин;24.37;дубль голосов лидера(>=3 УИК)
5027;Промышленный;Самара, Промышленная;2507;767;30.59;Живайкин;23.6;дубль голосов лидера(>=3 УИК)
5034;Промышленный;Самара, Промышленная;1989;698;35.09;Живайкин;25.79;дубль голосов лидера(>=3 УИК)
5035;Промышленный;Самара, Промышленная;1674;645;38.53;Живайкин;26.51;дубль голосов лидера(>=3 УИК)
5044;Промышленный;Самара, Промышленная;1907;733;38.44;Живайкин;24.97;дубль голосов лидера(>=3 УИК)
5045;Промышленный;Самара, Промышленная;1644;618;37.59;Живайкин;24.76;дубль голосов лидера(>=3 УИК)
5046;Промышленный;Самара, Промышленная;2091;768;36.73;Живайкин;22.79;дубль голосов лидера(>=3 УИК)
5047;Промышленный;Самара, Промышленная;1660;611;36.81;Живайкин;25.86;дубль голосов лидера(>=3 УИК)
5048;Промышленный;Самара, Промышленная;1797;663;36.89;Живайкин;25.04;дубль голосов лидера(>=3 УИК)
5052;Промышленный;Самара, Промышленная;1840;796;43.26;Живайкин;22.61;дубль голосов лидера(>=3 УИК)
5053;Промышленный;Самара, Промышленная;2099;807;38.45;Живайкин;22.68;дубль голосов лидера(>=3 УИК)
5054;Промышленный;Самара, Промышленная;1827;713;39.03;Живайкин;22.16;дубль голосов лидера(>=3 УИК)
5055;Промышленный;Самара, Промышленная;1803;739;40.99;Живайкин;26.66;дубль голосов лидера(>=3 УИК)
5058;Промышленный;Самара, Промышленная;1945;805;41.39;Живайкин;22.86;дубль голосов лидера(>=3 УИК)
5061;Промышленный;Самара, Промышленная;2118;867;40.93;Живайкин;20.53;дубль голосов лидера(>=3 УИК)
5063;Промышленный;Самара, Промышленная;1964;710;36.15;Живайкин;25.49;дубль голосов лидера(>=3 УИК)
5065;Промышленный;Самара, Промышленная;1912;793;41.47;Живайкин;23.08;дубль голосов лидера(>=3 УИК)
5069;Промышленный;Самара, Промышленная;1638;643;39.26;Живайкин;30.17;дубль голосов лидера(>=3 УИК)
5073;Промышленный;Самара, Промышленная;1915;701;36.61;Живайкин;41.65;дубль голосов лидера(>=3 УИК)
5080;Промышленный;Самара, Промышленная;1751;657;37.52;Живайкин;38.05;дубль голосов лидера(>=3 УИК)
5081;Промышленный;Самара, Промышленная;1672;619;37.02;Живайкин;35.06;дубль голосов лидера(>=3 УИК)
5089;Промышленный;Самара, Промышленная;2110;796;37.73;Живайкин;23.12;дубль голосов лидера(>=3 УИК)
5091;Промышленный;Самара, Промышленная;2125;799;37.6;Живайкин;24.28;дубль голосов лидера(>=3 УИК)
5094;Промышленный;Самара, Промышленная;2370;891;37.59;Живайкин;19.64;дубль голосов лидера(>=3 УИК)
5097;Промышленный;Самара, Промышленная;3018;1044;34.59;Живайкин;16.48;дубль голосов лидера(>=3 УИК)
3304;Промышленный;Самара, Советская;2514;778;30.95;Живайкин;22.88;дубль голосов лидера(>=3 УИК)
3320;Промышленный;Самара, Советская;1494;592;39.63;Живайкин;49.32;дубль голосов лидера(>=3 УИК)
3321;Промышленный;Самара, Советская;1698;638;37.57;Живайкин;50.0;дубль голосов лидера(>=3 УИК)
3325;Промышленный;Самара, Советская;2313;940;40.64;Живайкин;31.06;дубль голосов лидера(>=3 УИК)
3330;Промышленный;Самара, Советская;1538;560;36.41;Живайкин;20.71;дубль голосов лидера(>=3 УИК)
3332;Промышленный;Самара, Советская;2151;717;33.33;Живайкин;23.85;дубль голосов лидера(>=3 УИК)
3338;Промышленный;Самара, Советская;1235;247;20.0;Живайкин;29.15;явка=точное 20%
3348;Промышленный;Самара, Советская;1764;494;28.0;Живайкин;39.27;дубль голосов лидера(>=3 УИК)
3351;Промышленный;Самара, Советская;2248;749;33.32;Живайкин;22.16;дубль голосов лидера(>=3 УИК)
3355;Промышленный;Самара, Советская;1746;647;37.06;Живайкин;29.98;дубль голосов лидера(>=3 УИК)
3356;Промышленный;Самара, Советская;2428;788;32.45;Живайкин;22.46;дубль голосов лидера(>=3 УИК)
3357;Промышленный;Самара, Советская;1407;530;37.67;Живайкин;26.23;дубль голосов лидера(>=3 УИК)
3359;Промышленный;Самара, Советская;2167;911;42.04;Живайкин;23.82;дубль голосов лидера(>=3 УИК)
3360;Промышленный;Самара, Советская;2396;872;36.39;Живайкин;20.76;дубль голосов лидера(>=3 УИК)
3361;Промышленный;Самара, Советская;1312;472;35.98;Живайкин;41.74;дубль голосов лидера(>=3 УИК)
3364;Промышленный;Самара, Советская;14;14;100.0;Живайкин;92.86;"явка>=99.5%; явка=точное 100%; лидер>=90 при медиане ТИК<60; явка>=95 и лидер>=90"
3365;Промышленный;Самара, Советская;31;31;100.0;Живайкин;93.55;"явка>=99.5%; явка=точное 100%; лидер>=90 при медиане ТИК<60; явка>=95 и лидер>=90"
