uik;okrug;tik;voters;voted;turnout;leader;leader_pct;triggers
1745;Красноглинский;Красноярская;239;204;85.36;Портнягин;71.57;дубль голосов лидера(>=3 УИК)
4701;Красноглинский;Похвистневская;1143;1121;98.08;Портнягин;90.01;"лидер~полка±0.05; явка>=95 и лидер>=90"
4702;Красноглинский;Похвистневская;149;148;99.33;Портнягин;98.65;"явка>=95 и лидер>=90; дубль голосов лидера(>=3 УИК)"
4703;Красноглинский;Похвистневская;883;872;98.75;Портнягин;91.51;"явка>=95 и лидер>=90; у оппозиции ровно 1 голос"
4704;Красноглинский;Похвистневская;409;403;98.53;Портнягин;96.53;явка>=95 и лидер>=90
4705;Красноглинский;Похвистневская;245;242;98.78;Портнягин;93.39;явка>=95 и лидер>=90
4709;Красноглинский;Похвистневская;605;593;98.02;Портнягин;88.03;у оппозиции ровно 1 голос
4710;Красноглинский;Похвистневская;101;96;95.05;Портнягин;75.0;явка~круглое±0.05
4711;Красноглинский;Похвистневская;843;800;94.9;Портнягин;85.0;лидер~полка±0.05
4712;Красноглинский;Похвистневская;842;832;98.81;Портнягин;95.43;явка>=95 и лидер>=90
4713;Красноглинский;Похвистневская;411;406;98.78;Портнягин;97.29;явка>=95 и лидер>=90
4714;Красноглинский;Похвистневская;642;635;98.91;Портнягин;97.95;"явка>=95 и лидер>=90; у оппозиции ровно 1 голос"
4715;Красноглинский;Похвистневская;155;151;97.42;Портнягин;98.01;"явка>=95 и лидер>=90; у оппозиции ровно 1 голос"
4717;Красноглинский;Похвистневская;316;306;96.84;Портнягин;88.56;дубль голосов лидера(>=3 УИК)
4718;Красноглинский;Похвистневская;669;648;96.86;Портнягин;98.3;явка>=95 и лидер>=90
4719;Красноглинский;Похвистневская;315;309;98.1;Портнягин;91.59;явка>=95 и лидер>=90
4720;Красноглинский;Похвистневская;1528;1452;95.03;Портнягин;88.84;явка~круглое±0.05
4721;Красноглинский;Похвистневская;169;167;98.82;Портнягин;95.21;"явка>=95 и лидер>=90; у оппозиции ровно 1 голос"
4723;Красноглинский;Похвистневская;440;431;97.95;Портнягин;80.28;дубль голосов лидера(>=3 УИК)
4725;Красноглинский;Похвистневская;1285;1252;97.43;Портнягин;90.18;явка>=95 и лидер>=90
4727;Красноглинский;Похвистневская;337;333;98.81;Портнягин;93.09;явка>=95 и лидер>=90
2312;Красноглинский;Похвистневская городская;556;479;86.15;Портнягин;63.47;дубль голосов лидера(>=3 УИК)
2606;Красноглинский;Самара, Кировская;1957;436;22.28;Портнягин;25.69;дубль голосов лидера(>=3 УИК)
2611;Красноглинский;Самара, Кировская;2477;763;30.8;Портнягин;22.02;дубль голосов лидера(>=3 УИК)
2612;Красноглинский;Самара, Кировская;2098;723;34.46;Портнягин;23.24;дубль голосов лидера(>=3 УИК)
2619;Красноглинский;Самара, Кировская;1652;549;33.23;Портнягин;26.59;дубль голосов лидера(>=3 УИК)
2628;Красноглинский;Самара, Кировская;2200;650;29.55;Портнягин;68.15;дубль голосов лидера(>=3 УИК)
2629;Красноглинский;Самара, Кировская;2006;619;30.86;Портнягин;71.57;дубль голосов лидера(>=3 УИК)
2630;Красноглинский;Самара, Кировская;1657;498;30.05;Портнягин;69.48;дубль голосов лидера(>=3 УИК)
2641;Красноглинский;Самара, Кировская;1788;614;34.34;Портнягин;25.08;дубль голосов лидера(>=3 УИК)
2654;Красноглинский;Самара, Кировская;1448;462;31.91;Портнягин;24.24;дубль голосов лидера(>=3 УИК)
2657;Красноглинский;Самара, Кировская;1771;645;36.42;Портнягин;53.64;дубль голосов лидера(>=3 УИК)
2659;Красноглинский;Самара, Кировская;1545;546;35.34;Портнягин;22.89;дубль голосов лидера(>=3 УИК)
2673;Красноглинский;Самара, Кировская;2093;633;30.24;Портнягин;24.33;дубль голосов лидера(>=3 УИК)
2674;Красноглинский;Самара, Кировская;1898;641;33.77;Портнягин;29.95;дубль голосов лидера(>=3 УИК)
2688;Красноглинский;Самара, Кировская;1724;352;20.42;Портнягин;57.39;дубль голосов лидера(>=3 УИК)
2690;Красноглинский;Самара, Кировская;55;55;100.0;Портнягин;20.0;"явка>=99.5%; явка=точное 100%"
2692;Красноглинский;Самара, Кировская;137;137;100.0;Портнягин;34.31;"явка>=99.5%; явка=точное 100%"
2704;Красноглинский;Самара, Красноглинская;2358;867;36.77;Портнягин;27.91;дубль голосов лидера(>=3 УИК)
2713;Красноглинский;Самара, Красноглинская;1742;717;41.16;Портнягин;28.17;дубль голосов лидера(>=3 УИК)
2714;Красноглинский;Самара, Красноглинская;243;243;100.0;Портнягин;71.6;"явка>=99.5%; явка=точное 100%"
2721;Красноглинский;Самара, Красноглинская;1583;615;38.85;Портнягин;32.2;дубль голосов лидера(>=3 УИК)
2725;Красноглинский;Самара, Красноглинская;1559;608;39.0;Портнягин;27.63;дубль голосов лидера(>=3 УИК)
2728;Красноглинский;Самара, Красноглинская;2456;948;38.6;Портнягин;25.53;дубль голосов лидера(>=3 УИК)
2748;Красноглинский;Самара, Красноглинская;1043;667;63.95;Портнягин;66.42;дубль голосов лидера(>=3 УИК)
3424;Красноглинский;Сергиевская;200;166;83.0;Портнягин;80.12;явка=точное 83%
3425;Красноглинский;Сергиевская;335;270;80.6;Портнягин;80.0;лидер~полка±0.05
3428;Красноглинский;Сергиевская;272;218;80.15;Портнягин;81.19;дубль голосов лидера(>=3 УИК)
3429;Красноглинский;Сергиевская;487;401;82.34;Портнягин;80.05;лидер~полка±0.05
3430;Красноглинский;Сергиевская;252;202;80.16;Портнягин;79.21;"дубль голосов лидера(>=3 УИК); у оппозиции ровно 1 голос"
3431;Красноглинский;Сергиевская;291;239;82.13;Портнягин;80.33;дубль голосов лидера(>=3 УИК)
3432;Красноглинский;Сергиевская;407;334;82.06;Портнягин;81.14;дубль голосов лидера(>=3 УИК)
3433;Красноглинский;Сергиевская;484;384;79.34;Портнягин;79.17;дубль голосов лидера(>=3 УИК)
4301;Красноглинский;Челно-Вершинская;528;509;96.4;Портнягин;89.98;лидер~полка±0.05
4302;Красноглинский;Челно-Вершинская;188;181;96.28;Портнягин;90.06;"явка>=95 и лидер>=90; у оппозиции ровно 1 голос"
4303;Красноглинский;Челно-Вершинская;190;177;93.16;Портнягин;90.4;дубль голосов лидера(>=3 УИК)
4304;Красноглинский;Челно-Вершинская;605;585;96.69;Портнягин;90.43;явка>=95 и лидер>=90
4306;Красноглинский;Челно-Вершинская;58;56;96.55;Портнягин;94.64;явка>=95 и лидер>=90
4307;Красноглинский;Челно-Вершинская;93;90;96.77;Портнягин;90.0;"лидер~полка±0.05; явка>=95 и лидер>=90"
4308;Красноглинский;Челно-Вершинская;226;219;96.9;Портнягин;90.41;"явка>=95 и лидер>=90; дубль голосов лидера(>=3 УИК)"
4309;Красноглинский;Челно-Вершинская;213;205;96.24;Портнягин;92.68;"явка>=95 и лидер>=90; у оппозиции ровно 1 голос"
4310;Красноглинский;Челно-Вершинская;320;310;96.88;Портнягин;93.55;явка>=95 и лидер>=90
4311;Красноглинский;Челно-Вершинская;365;355;97.26;Портнягин;90.99;явка>=95 и лидер>=90
4312;Красноглинский;Челно-Вершинская;182;177;97.25;Портнягин;90.4;"явка>=95 и лидер>=90; дубль голосов лидера(>=3 УИК)"
4313;Красноглинский;Челно-Вершинская;106;102;96.23;Портнягин;90.2;"явка>=95 и лидер>=90; у оппозиции ровно 1 голос"
4314;Красноглинский;Челно-Вершинская;449;432;96.21;Портнягин;90.05;"лидер~полка±0.05; явка>=95 и лидер>=90"
4315;Красноглинский;Челно-Вершинская;197;188;95.43;Портнягин;90.43;явка>=95 и лидер>=90
4316;Красноглинский;Челно-Вершинская;355;344;96.9;Портнягин;90.41;"явка>=95 и лидер>=90; у оппозиции ровно 1 голос"
4317;Красноглинский;Челно-Вершинская;1141;1101;96.49;Портнягин;90.01;"лидер~полка±0.05; явка>=95 и лидер>=90"
4318;Красноглинский;Челно-Вершинская;1379;1324;96.01;Портнягин;90.03;"лидер~полка±0.05; явка>=95 и лидер>=90"
4319;Красноглинский;Челно-Вершинская;763;732;95.94;Портнягин;90.03;"лидер~полка±0.05; явка>=95 и лидер>=90"
4320;Красноглинский;Челно-Вершинская;839;804;95.83;Портнягин;90.05;"лидер~полка±0.05; явка>=95 и лидер>=90"
4322;Красноглинский;Челно-Вершинская;582;559;96.05;Портнягин;90.16;"явка>=95 и лидер>=90; у оппозиции ровно 1 голос"
4323;Красноглинский;Челно-Вершинская;317;302;95.27;Портнягин;90.73;явка>=95 и лидер>=90
4324;Красноглинский;Челно-Вершинская;448;433;96.65;Портнягин;90.07;явка>=95 и лидер>=90
4325;Красноглинский;Челно-Вершинская;280;269;96.07;Портнягин;89.96;"лидер~полка±0.05; дубль голосов лидера(>=3 УИК)"
4326;Красноглинский;Челно-Вершинская;485;472;97.32;Портнягин;90.25;явка>=95 и лидер>=90
4327;Красноглинский;Челно-Вершинская;281;268;95.37;Портнягин;91.04;явка>=95 и лидер>=90
4328;Красноглинский;Челно-Вершинская;152;146;96.05;Портнягин;90.41;"явка>=95 и лидер>=90; у оппозиции ровно 1 голос"
4401;Красноглинский;Шенталинская;162;155;95.68;Портнягин;84.52;дубль голосов лидера(>=3 УИК)
4402;Красноглинский;Шенталинская;224;211;94.2;Портнягин;79.62;дубль голосов лидера(>=3 УИК)
4403;Красноглинский;Шенталинская;166;164;98.8;Портнягин;92.68;явка>=95 и лидер>=90
4404;Красноглинский;Шенталинская;123;121;98.37;Портнягин;86.78;у оппозиции ровно 1 голос
4405;Красноглинский;Шенталинская;103;102;99.03;Портнягин;88.24;у оппозиции ровно 1 голос
4408;Красноглинский;Шенталинская;287;281;97.91;Портнягин;95.02;"лидер~полка±0.05; явка>=95 и лидер>=90"
4410;Красноглинский;Шенталинская;121;118;97.52;Портнягин;87.29;у оппозиции ровно 1 голос
4412;Красноглинский;Шенталинская;212;202;95.28;Портнягин;83.17;дубль голосов лидера(>=3 УИК)
4415;Красноглинский;Шенталинская;252;247;98.02;Портнягин;80.16;дубль голосов лидера(>=3 УИК)
4416;Красноглинский;Шенталинская;119;113;94.96;Портнягин;82.3;явка~круглое±0.05
4417;Красноглинский;Шенталинская;171;163;95.32;Портнягин;80.37;дубль голосов лидера(>=3 УИК)
4419;Красноглинский;Шенталинская;218;214;98.17;Портнягин;89.72;дубль голосов лидера(>=3 УИК)
4421;Красноглинский;Шенталинская;452;432;95.58;Портнягин;80.09;дубль голосов лидера(>=3 УИК)
4422;Красноглинский;Шенталинская;104;100;96.15;Портнягин;80.0;лидер~полка±0.05
4425;Красноглинский;Шенталинская;794;777;97.86;Портнягин;93.18;явка>=95 и лидер>=90
206;Жигулевский;Безенчукская;1101;881;80.02;Трифонов;75.94;явка~круглое±0.05
209;Жигулевский;Безенчукская;1016;864;85.04;Трифонов;77.2;явка~круглое±0.05
218;Жигулевский;Безенчукская;1112;890;80.04;Трифонов;78.09;явка~круглое±0.05
220;Жигулевский;Безенчукская;172;146;84.88;Трифонов;75.34;у оппозиции ровно 1 голос
225;Жигулевский;Безенчукская;537;467;86.96;Трифонов;77.52;дубль голосов лидера(>=3 УИК)
227;Жигулевский;Безенчукская;425;362;85.18;Трифонов;77.62;дубль голосов лидера(>=3 УИК)
228;Жигулевский;Безенчукская;226;192;84.96;Трифонов;62.5;явка~круглое±0.05
229;Жигулевский;Безенчукская;149;143;95.97;Трифонов;80.42;у оппозиции ровно 1 голос
913;Жигулевский;Жигулевская городская;2345;1329;56.67;Трифонов;48.68;дубль голосов лидера(>=3 УИК)
922;Жигулевский;Жигулевская городская;741;511;68.96;Трифонов;80.63;дубль голосов лидера(>=3 УИК)
1605;Жигулевский;Красноармейская;153;153;100.0;Трифонов;80.39;"явка>=99.5%; явка=точное 100%"
1612;Жигулевский;Красноармейская;155;130;83.87;Трифонов;92.31;у оппозиции ровно 1 голос
1619;Жигулевский;Красноармейская;691;609;88.13;Трифонов;71.26;дубль голосов лидера(>=3 УИК)
1630;Жигулевский;Красноармейская;657;571;86.91;Трифонов;73.38;дубль голосов лидера(>=3 УИК)
2004;Жигулевский;Октябрьская городская;1063;607;57.1;Трифонов;46.29;дубль голосов лидера(>=3 УИК)
2006;Жигулевский;Октябрьская городская;1037;996;96.05;Трифонов;93.47;явка>=95 и лидер>=90
2011;Жигулевский;Октябрьская городская;994;689;69.32;Трифонов;56.17;дубль голосов лидера(>=3 УИК)
2014;Жигулевский;Октябрьская городская;903;655;72.54;Трифонов;62.9;дубль голосов лидера(>=3 УИК)
2201;Жигулевский;Пестравская;845;815;96.45;Трифонов;91.41;явка>=95 и лидер>=90
2202;Жигулевский;Пестравская;752;730;97.07;Трифонов;90.14;явка>=95 и лидер>=90
2203;Жигулевский;Пестравская;301;286;95.02;Трифонов;91.26;"явка~круглое±0.05; явка>=95 и лидер>=90"
2204;Жигулевский;Пестравская;259;259;100.0;Трифонов;91.51;"явка>=99.5%; явка=точное 100%; явка>=95 и лидер>=90"
2205;Жигулевский;Пестравская;274;263;95.99;Трифонов;90.49;явка>=95 и лидер>=90
2206;Жигулевский;Пестравская;311;298;95.82;Трифонов;90.6;"явка>=95 и лидер>=90; дубль голосов лидера(>=3 УИК); у оппозиции ровно 1 голос"
2207;Жигулевский;Пестравская;655;639;97.56;Трифонов;90.3;явка>=95 и лидер>=90
2208;Жигулевский;Пестравская;513;492;95.91;Трифонов;95.12;явка>=95 и лидер>=90
2209;Жигулевский;Пестравская;250;246;98.4;Трифонов;95.53;явка>=95 и лидер>=90
2210;Жигулевский;Пестравская;118;114;96.61;Трифонов;90.35;явка>=95 и лидер>=90
2211;Жигулевский;Пестравская;553;543;98.19;Трифонов;95.03;"лидер~полка±0.05; явка>=95 и лидер>=90"
2213;Жигулевский;Пестравская;654;627;95.87;Трифонов;91.71;явка>=95 и лидер>=90
2214;Жигулевский;Пестравская;313;302;96.49;Трифонов;95.7;явка>=95 и лидер>=90
2215;Жигулевский;Пестравская;285;280;98.25;Трифонов;93.93;явка>=95 и лидер>=90
2216;Жигулевский;Пестравская;352;338;96.02;Трифонов;90.24;явка>=95 и лидер>=90
2217;Жигулевский;Пестравская;620;601;96.94;Трифонов;91.01;явка>=95 и лидер>=90
2218;Жигулевский;Пестравская;449;432;96.21;Трифонов;90.05;"лидер~полка±0.05; явка>=95 и лидер>=90"
2219;Жигулевский;Пестравская;535;520;97.2;Трифонов;92.12;явка>=95 и лидер>=90
2220;Жигулевский;Пестравская;793;761;95.96;Трифонов;95.14;явка>=95 и лидер>=90
2221;Жигулевский;Пестравская;966;920;95.24;Трифонов;94.13;явка>=95 и лидер>=90
2222;Жигулевский;Пестравская;841;804;95.6;Трифонов;90.3;явка>=95 и лидер>=90
2223;Жигулевский;Пестравская;256;245;95.7;Трифонов;90.2;явка>=95 и лидер>=90
2224;Жигулевский;Пестравская;373;361;96.78;Трифонов;90.03;"лидер~полка±0.05; явка>=95 и лидер>=90"
2401;Жигулевский;Приволжская;110;106;96.36;Трифонов;96.23;"явка>=95 и лидер>=90; у оппозиции ровно 1 голос"
2402;Жигулевский;Приволжская;1012;975;96.34;Трифонов;94.05;явка>=95 и лидер>=90
